"country","journal","discipline","position","n.authors","n.papers","genderRatios","low.CI.1","up.CI.1","current.rate.of.change","low.CI.2","up.CI.2","years.to.parity","low.CI.3","up.CI.3","r","c","qualitative.result"
"Japan","All journals","Chemistry Techniques, Analytical","overall",17007,5202,20.812,19.4,22.187,0.117,-0.056,0.273,NA,NA,NA,0.019,3.285,"Male-biased but improving"
"Malaysia","All journals","Chemistry Techniques, Analytical","overall",2005,933,43.606,18.902,48.511,0.272,-7.588,0.564,NA,NA,NA,0.094,0.619,"Male-biased but improving"
"Netherlands","All journals","Chemistry Techniques, Analytical","overall",5074,1336,25.98,23.388,28.449,0.921,0.608,1.222,29.365,20.365,48.365,0.147,6.295,"Male-biased but improving"
"Norway","All journals","Chemistry Techniques, Analytical","overall",1388,448,37.115,32.528,41.543,0.927,0.453,1.174,12.365,4.365,38.39,0.194,3.48,"Male-biased but improving"
"Poland","All journals","Chemistry Techniques, Analytical","overall",4758,1629,43.324,40.165,46.226,0.243,-0.237,0.425,NA,NA,NA,0.088,0.631,"Male-biased but improving"
"Portugal","All journals","Chemistry Techniques, Analytical","overall",3494,974,47.438,39.056,50.001,-0.006,-5.045,0.133,NA,NA,NA,-0.173,0.039,"Essentially at parity"
"Russia","All journals","Chemistry Techniques, Analytical","overall",2218,693,28.404,24.51,31.737,-0.531,-1.12,0.003,NA,NA,NA,-0.087,0.743,"Male-biased and becoming more so"
"Singapore","All journals","Chemistry Techniques, Analytical","overall",1567,744,30.928,26.125,35.282,0.191,-0.455,0.737,NA,NA,NA,0.032,1.615,"Male-biased but improving"
"Slovakia","All journals","Chemistry Techniques, Analytical","overall",951,263,26.089,18.463,33.904,-0.541,-1.449,0.345,NA,NA,NA,-0.082,0.925,"Male-biased and becoming more so"
"South Korea","All journals","Chemistry Techniques, Analytical","overall",3631,2220,35.271,31.685,38.32,-0.361,-1.029,0.113,NA,NA,NA,-0.071,0.462,"Male-biased and becoming more so"
"Spain","All journals","Chemistry Techniques, Analytical","overall",10547,2834,49.208,47.731,49.925,0.112,0.021,0.17,5,NA,NA,0.309,0.431,"Essentially at parity"
"Sweden","All journals","Chemistry Techniques, Analytical","overall",4892,1380,26.576,23.657,29.375,-0.192,-0.499,0.119,NA,NA,NA,-0.031,1.36,"Male-biased and becoming more so"
"Switzerland","All journals","Chemistry Techniques, Analytical","overall",4367,1271,25.428,22.851,27.786,0.284,-0.035,0.607,NA,NA,NA,0.047,2.837,"Male-biased but improving"
"Thailand","All journals","Chemistry Techniques, Analytical","overall",764,461,27.062,10.172,50,-6.867,-14.075,0.272,NA,NA,NA,-1.902,0,"Male-biased and becoming more so"
"Turkey","All journals","Chemistry Techniques, Analytical","overall",3081,1058,26.535,23.346,29.963,-0.537,-1.025,-0.024,NA,NA,NA,-0.086,0.86,"Male-biased and becoming more so"
"United Kingdom","All journals","Chemistry Techniques, Analytical","overall",9044,2455,29.634,27.535,31.752,0.482,0.255,0.706,56,NA,NA,0.081,2.686,"Male-biased but improving"
"USA","All journals","Chemistry Techniques, Analytical","overall",74095,25182,30.301,29.63,30.991,0.459,0.378,0.531,46.365,38.365,58.365,0.077,2.459,"Male-biased but improving"
"Argentina","All journals","Chemistry","overall",3110,893,37.08,33.771,40.113,-0.166,-0.644,0.249,NA,NA,NA,-0.034,0.526,"Male-biased and becoming more so"
"Australia","All journals","Chemistry","overall",20070,6037,27.309,26.025,28.506,0.23,0.054,0.395,89,NA,NA,0.037,2.256,"Male-biased but improving"
"Austria","All journals","Chemistry","overall",8898,2180,23.688,21.917,25.279,0.126,-0.114,0.354,NA,NA,NA,0.021,2.644,"Male-biased but improving"
"Belgium","All journals","Chemistry","overall",9332,2139,29.595,27.92,31.368,0.625,0.399,0.824,36.365,24.365,59.365,0.103,3.253,"Male-biased but improving"
"Brazil","All journals","Chemistry","overall",11114,2923,38.977,37.238,40.686,0.171,-0.084,0.377,NA,NA,NA,0.04,0.789,"Male-biased but improving"
"Canada","All journals","Chemistry","overall",34035,12358,26.543,25.635,27.483,0.372,0.253,0.488,69.365,51.365,105.365,0.06,2.904,"Male-biased but improving"
"Chile","All journals","Chemistry","overall",3571,895,29.79,26.721,32.686,0.15,-0.237,0.515,NA,NA,NA,0.028,1.696,"Male-biased but improving"
"China","All journals","Chemistry","overall",59657,46562,42.279,41.404,43.077,0.146,0.015,0.257,35,NA,NA,0.046,0.534,"Male-biased but improving"
"Croatia","All journals","Chemistry","overall",837,251,40.293,26.108,46.239,-0.17,-6.77,0.436,NA,NA,NA,-0.045,0.32,"Male-biased and becoming more so"
"Czech Republic","All journals","Chemistry","overall",6302,1528,27.659,25.589,29.796,0.638,0.345,0.922,38.865,24.365,78.365,0.103,3.803,"Male-biased but improving"
"Denmark","All journals","Chemistry","overall",10893,2911,23.981,22.335,25.36,0.148,-0.081,0.342,NA,NA,NA,0.023,2.617,"Male-biased but improving"
"Egypt","All journals","Chemistry","overall",657,251,33.969,27.499,39.732,0.425,-0.494,1.01,NA,NA,NA,0.076,1.789,"Male-biased but improving"
"Finland","All journals","Chemistry","overall",6566,1755,32.093,29.661,34.271,0.005,-0.332,0.287,NA,NA,NA,-0.001,1.114,"Male-biased but improving"
"France","All journals","Chemistry","overall",66879,17175,30.034,29.308,30.684,0.058,-0.045,0.146,NA,NA,NA,0.01,1.441,"Male-biased but improving"
"Germany","All journals","Chemistry","overall",97174,26991,23.753,23.218,24.294,0.562,0.487,0.639,51.365,44.365,60.365,0.09,4.682,"Male-biased but improving"
"Greece","All journals","Chemistry","overall",2067,566,32.793,28.845,36.391,0.555,0.081,0.939,39,NA,NA,0.097,2.366,"Male-biased but improving"
"Hong Kong","All journals","Chemistry","overall",1566,921,37.335,33.303,40.973,0.858,0.512,1.117,12.365,5.365,32.365,0.179,3.057,"Male-biased but improving"
"Hungary","All journals","Chemistry","overall",2885,853,31.45,28.231,34.656,0.477,0.058,0.86,42,NA,NA,0.086,2.361,"Male-biased but improving"
"India","All journals","Chemistry","overall",22988,11145,20.37,19.352,21.291,-0.146,-0.308,0.013,NA,NA,NA,-0.025,2.371,"Male-biased and becoming more so"
"Indonesia","All journals","Chemistry","overall",1333,286,42.416,38.409,45.766,0.587,0.297,0.767,5.365,0,28.365,0.19,1.707,"Male-biased but improving"
"Iran","All journals","Chemistry","overall",1917,782,34.037,30.33,37.507,1.418,0.889,1.824,11.365,6.365,23.365,0.259,8.11,"Male-biased but improving"
"Ireland","All journals","Chemistry","overall",4705,1327,32.226,29.747,34.617,0.26,-0.101,0.571,NA,NA,NA,0.045,1.608,"Male-biased but improving"
"Israel","All journals","Chemistry","overall",8746,2910,33.187,30.94,35.208,0.233,-0.03,0.468,NA,NA,NA,0.043,1.444,"Male-biased but improving"
"Italy","All journals","Chemistry","overall",47113,10217,39.556,38.785,40.302,0.417,0.34,0.486,17.365,13.365,24.365,0.101,1.224,"Male-biased but improving"
"Japan","All journals","Chemistry","overall",67500,21377,15.202,14.632,15.789,0.128,0.05,0.21,249.865,153.34,639.44,0.024,5.588,"Male-biased but improving"
"Malaysia","All journals","Chemistry","overall",1681,734,31.463,25.792,36.396,-0.334,-1.712,0.688,NA,NA,NA,-0.056,0.734,"Male-biased and becoming more so"
"Mexico","All journals","Chemistry","overall",2914,888,35.035,32.145,38.17,0.439,0.03,0.776,36,NA,NA,0.085,1.719,"Male-biased but improving"
"Netherlands","All journals","Chemistry","overall",19648,4937,22.287,21.105,23.526,0.442,0.283,0.611,68.365,48.34,108.365,0.072,4.528,"Male-biased but improving"
"New Zealand","All journals","Chemistry","overall",3693,1111,27.806,25.028,30.33,0,-0.386,0.374,NA,NA,NA,0.001,1.61,""
"Norway","All journals","Chemistry","overall",3511,1087,28.689,25.868,31.583,0.463,0.07,0.846,57,NA,NA,0.078,2.825,"Male-biased but improving"
"Pakistan","All journals","Chemistry","overall",668,176,16.379,9.204,26.49,-2.913,-3.863,-1.394,NA,NA,NA,-0.529,0.048,"Male-biased and becoming more so"
"Poland","All journals","Chemistry","overall",10843,3364,37.861,36.173,39.393,0.282,0.066,0.461,45,NA,NA,0.061,1.065,"Male-biased but improving"
"Portugal","All journals","Chemistry","overall",9704,2411,45.024,43.03,46.552,0.222,-0.042,0.338,16,NA,NA,0.099,0.503,"Essentially at parity"
"Romania","All journals","Chemistry","overall",1261,334,49.802,48.875,50,0.08,0,0.275,9,NA,NA,0.809,6.551,"Essentially at parity"
"Russia","All journals","Chemistry","overall",10282,2532,29.235,27.486,31.014,0.14,-0.118,0.383,NA,NA,NA,0.023,1.717,"Male-biased but improving"
"Saudi Arabia","All journals","Chemistry","overall",1092,365,20.224,16.76,23.9,0.249,-0.517,1.216,NA,NA,NA,0.043,4.232,"Male-biased but improving"
"Serbia","All journals","Chemistry","overall",1439,376,50.653,49.991,55.175,-0.018,-0.236,0.48,0,NA,NA,0.176,-0.239,"Essentially at parity"
"Singapore","All journals","Chemistry","overall",6734,3317,28.552,26.476,30.626,-0.227,-0.604,0.133,NA,NA,NA,-0.036,1.111,"Male-biased and becoming more so"
"Slovakia","All journals","Chemistry","overall",1076,319,28.57,23.753,33.779,0.216,-0.461,0.848,NA,NA,NA,0.036,2.024,"Male-biased but improving"
"Slovenia","All journals","Chemistry","overall",1149,332,42.099,37.499,45.506,1.021,0.759,1.234,3.365,0.365,13.365,0.315,5.234,"Male-biased but improving"
"South Africa","All journals","Chemistry","overall",926,340,28.524,20.233,35.497,-1.187,-3.707,0.107,NA,NA,NA,-0.193,0.298,"Male-biased and becoming more so"
"South Korea","All journals","Chemistry","overall",14272,7976,33.228,31.594,34.761,-0.026,-0.29,0.199,NA,NA,NA,-0.006,0.967,"Male-biased and becoming more so"
"Spain","All journals","Chemistry","overall",37092,8997,35.903,34.945,36.829,0.254,0.138,0.359,51.365,32.365,104.365,0.051,1.195,"Male-biased but improving"
"Sweden","All journals","Chemistry","overall",13094,3932,23.12,21.546,24.566,0.033,-0.153,0.224,NA,NA,NA,0.006,2.44,"Male-biased but improving"
"Switzerland","All journals","Chemistry","overall",17446,5038,25.712,24.532,26.947,0.519,0.352,0.681,52.365,38.34,80.365,0.083,3.764,"Male-biased but improving"
"Taiwan","All journals","Chemistry","overall",1095,2506,36.503,31.12,41.49,0.496,-0.26,0.959,NA,NA,NA,0.102,1.731,"Male-biased but improving"
"Thailand","All journals","Chemistry","overall",1297,751,36.187,29.806,41.863,-0.443,-1.943,0.387,NA,NA,NA,-0.093,0.352,"Male-biased and becoming more so"
"Turkey","All journals","Chemistry","overall",3898,1437,36.54,33.135,39.65,0.002,-0.543,0.411,NA,NA,NA,0.002,0.745,"Male-biased but improving"
"Ukraine","All journals","Chemistry","overall",1478,388,20.22,16.445,23.953,-0.513,-1.005,0.027,NA,NA,NA,-0.086,1.439,"Male-biased and becoming more so"
"United Kingdom","All journals","Chemistry","overall",45237,11963,23.802,23.019,24.538,0.317,0.218,0.411,90.365,68.365,134.39,0.051,3.356,"Male-biased but improving"
"USA","All journals","Chemistry","overall",284727,104364,25.271,24.931,25.622,0.391,0.351,0.434,70.365,62.365,78.365,0.063,3.295,"Male-biased but improving"
"Canada","All journals","Clinical Laboratory Techniques","overall",1111,298,28.807,23.051,34.758,-0.97,-2.012,0.018,NA,NA,NA,-0.157,0.396,"Male-biased and becoming more so"
"China","All journals","Clinical Laboratory Techniques","overall",734,541,44.359,32.525,48.224,0.339,-2.49,0.667,NA,NA,NA,0.144,0.856,"Male-biased but improving"
"Denmark","All journals","Clinical Laboratory Techniques","overall",886,206,40.114,35.286,44.111,0.814,0.133,1.216,22,NA,NA,0.213,2.847,"Male-biased but improving"
"France","All journals","Clinical Laboratory Techniques","overall",991,211,32.033,16.702,40.76,-1.536,-6.203,0.139,NA,NA,NA,-0.26,0.124,"Male-biased and becoming more so"
"Germany","All journals","Clinical Laboratory Techniques","overall",3130,665,27.703,24.626,31.162,0.296,-0.136,0.714,NA,NA,NA,0.049,2.405,"Male-biased but improving"
"Italy","All journals","Clinical Laboratory Techniques","overall",1496,271,44.641,34.915,49.205,0,-2.771,0.276,NA,NA,NA,-0.012,0.216,""
"Japan","All journals","Clinical Laboratory Techniques","overall",1514,335,22.921,18.221,28.415,-0.266,-0.816,0.41,NA,NA,NA,-0.039,1.697,"Male-biased and becoming more so"
"Netherlands","All journals","Clinical Laboratory Techniques","overall",619,147,38.37,30.918,43.989,0.534,-0.441,0.971,NA,NA,NA,0.121,1.676,"Male-biased but improving"
"Spain","All journals","Clinical Laboratory Techniques","overall",704,139,41.126,34.423,46.284,0.121,-0.85,0.594,NA,NA,NA,0.037,0.586,"Male-biased but improving"
"Sweden","All journals","Clinical Laboratory Techniques","overall",868,212,30.55,23.815,36.753,-0.088,-1.173,0.832,NA,NA,NA,-0.007,1.194,"Male-biased and becoming more so"
"Turkey","All journals","Clinical Laboratory Techniques","overall",1082,227,42.209,37.78,45.477,0.722,0.327,0.953,21,NA,NA,0.225,2.424,"Male-biased but improving"
"United Kingdom","All journals","Clinical Laboratory Techniques","overall",824,248,36.293,31.098,41.058,0.628,-0.031,1.106,29,NA,NA,0.124,2.148,"Male-biased but improving"
"USA","All journals","Clinical Laboratory Techniques","overall",12951,4160,28.766,26.777,30.56,-0.548,-0.851,-0.273,NA,NA,NA,-0.09,0.701,"Male-biased and becoming more so"
"Argentina","All journals","Communicable Diseases","overall",1007,164,50,49.573,86.035,0.002,0,56.568,4,NA,NA,1.002,0.88,"Essentially at parity"
"Australia","All journals","Communicable Diseases","overall",5812,1260,43.023,40.731,45.057,0.298,0.034,0.443,20,NA,NA,0.1,0.743,"Male-biased but improving"
"Austria","All journals","Communicable Diseases","overall",994,189,38.633,32.536,44.066,0.357,-0.442,0.737,NA,NA,NA,0.081,1.164,"Male-biased but improving"
"Belgium","All journals","Communicable Diseases","overall",1369,236,36.159,31.574,40.518,0.332,-0.26,0.751,NA,NA,NA,0.066,1.316,"Male-biased but improving"
"Brazil","All journals","Communicable Diseases","overall",7252,1417,50,50,54.569,0,-0.013,0.203,NA,NA,NA,4.94,135.66,"Essentially at parity"
"Canada","All journals","Communicable Diseases","overall",6145,1229,42.441,40.458,44.235,0.298,0.051,0.452,21,NA,NA,0.092,0.762,"Male-biased but improving"
"Chile","All journals","Communicable Diseases","overall",1962,495,51.165,50,55.86,-0.067,-0.202,0.406,5,NA,NA,0.118,-0.171,"Essentially at parity"
"China","All journals","Communicable Diseases","overall",4679,4413,44.956,41.841,48.236,-0.17,-1.064,0.146,NA,NA,NA,-0.086,0.113,"Male-biased and becoming more so"
"Denmark","All journals","Communicable Diseases","overall",2474,497,40.701,37.434,43.394,0.593,0.351,0.754,9.365,3.365,28.365,0.158,1.703,"Male-biased but improving"
"Finland","All journals","Communicable Diseases","overall",1520,286,49.943,47.012,50.015,0.006,-0.043,0.153,0,NA,NA,0.188,0.105,"Essentially at parity"
"France","All journals","Communicable Diseases","overall",10105,1681,40.604,38.955,42.172,0.073,-0.173,0.26,NA,NA,NA,0.019,0.539,"Male-biased but improving"
"Germany","All journals","Communicable Diseases","overall",4859,887,37.76,35.407,39.884,0.764,0.551,0.938,13.365,8.365,24.365,0.166,2.58,"Male-biased but improving"
"Greece","All journals","Communicable Diseases","overall",1218,254,44.717,40.085,47.584,0.307,-0.141,0.479,16,NA,NA,0.13,0.714,"Male-biased but improving"
"India","All journals","Communicable Diseases","overall",3487,942,36.458,33.853,39.132,-0.131,-0.612,0.254,NA,NA,NA,-0.025,0.602,"Male-biased and becoming more so"
"Iran","All journals","Communicable Diseases","overall",1056,255,34.685,28.518,40.461,0.581,-0.419,1.11,NA,NA,NA,0.106,2.151,"Male-biased but improving"
"Israel","All journals","Communicable Diseases","overall",1321,287,37.741,30.794,44.131,0.039,-1.049,0.53,NA,NA,NA,0.005,0.668,"Male-biased but improving"
"Italy","All journals","Communicable Diseases","overall",6229,958,48.688,47.305,49.584,0.186,0.103,0.248,0,0,0,0.304,0.672,"Essentially at parity"
"Japan","All journals","Communicable Diseases","overall",7024,1491,27.75,25.452,29.872,0.162,-0.081,0.395,NA,NA,NA,0.025,1.993,"Male-biased but improving"
"Kenya","All journals","Communicable Diseases","overall",841,124,40.601,34.088,45.653,0.505,-0.465,0.811,NA,NA,NA,0.125,1.364,"Male-biased but improving"
"Mexico","All journals","Communicable Diseases","overall",677,129,39.308,33.259,44.81,-0.086,-1.508,0.562,NA,NA,NA,-0.024,0.448,"Male-biased and becoming more so"
"Netherlands","All journals","Communicable Diseases","overall",4489,838,39.809,37.442,42.03,0.299,0.034,0.501,34,NA,NA,0.075,0.949,"Male-biased but improving"
"Norway","All journals","Communicable Diseases","overall",1094,227,45.955,40.056,49.549,0.602,0.157,0.794,0,0,12.365,0.348,3.159,"Essentially at parity"
"Pakistan","All journals","Communicable Diseases","overall",621,134,43.706,36.48,49.462,0.965,0.096,1.291,17,NA,NA,0.392,7.408,"Male-biased but improving"
"Portugal","All journals","Communicable Diseases","overall",759,155,49.964,43.112,50,0.013,-1.646,0.205,7,NA,NA,0.87,2.659,"Essentially at parity"
"South Africa","All journals","Communicable Diseases","overall",1739,272,42.955,39.648,45.956,0.472,-0.149,0.778,19,NA,NA,0.164,1.26,"Male-biased but improving"
"South Korea","All journals","Communicable Diseases","overall",1116,407,39.591,34.154,44.318,0.598,-0.207,0.947,25,NA,NA,0.145,1.74,"Male-biased but improving"
"Spain","All journals","Communicable Diseases","overall",4626,718,46.902,44.38,48.778,0.357,0.242,0.443,0,0,2.365,0.256,1.128,"Essentially at parity"
"Sweden","All journals","Communicable Diseases","overall",3392,727,42.917,40.028,45.451,0.278,-0.013,0.437,21,NA,NA,0.095,0.721,"Male-biased but improving"
"Switzerland","All journals","Communicable Diseases","overall",3315,613,36.01,33.507,38.665,0.794,0.509,1.019,16.365,9.365,31.39,0.156,2.873,"Male-biased but improving"
"Thailand","All journals","Communicable Diseases","overall",1322,307,40.458,33.715,46.576,-0.275,-2.14,0.337,NA,NA,NA,-0.076,0.247,"Male-biased and becoming more so"
"Turkey","All journals","Communicable Diseases","overall",3578,702,44.417,41.232,47.051,0.434,0.202,0.543,19,NA,NA,0.179,1.114,"Male-biased but improving"
"Uganda","All journals","Communicable Diseases","overall",948,125,42.194,37.446,46.269,0.614,0.005,0.892,20,NA,NA,0.19,1.795,"Male-biased but improving"
"United Kingdom","All journals","Communicable Diseases","overall",8250,1864,41.345,39.485,42.963,0.313,0.121,0.452,26,NA,NA,0.089,0.876,"Male-biased but improving"
"USA","All journals","Communicable Diseases","overall",62805,13068,44.683,44.062,45.28,0.339,0.302,0.371,1.365,0,3.365,0.143,0.782,"Male-biased but improving"
"Brazil","All journals","Complementary Therapies","overall",1204,274,49.971,48.93,50.439,0.013,0,0.192,NA,NA,NA,0.731,0.845,"Essentially at parity"
"China","All journals","Complementary Therapies","overall",9117,12482,42.375,40.168,44.528,-0.376,-0.801,-0.045,NA,NA,NA,-0.113,0.14,"Male-biased and becoming more so"
"Germany","All journals","Complementary Therapies","overall",1478,443,35.204,30.721,39.06,0.665,0.067,1.102,32,NA,NA,0.131,2.485,"Male-biased but improving"
